,title,description
10,"COVID-19 Daily Cases, Deaths, and Hospitalizations","This is the place to look for important information about how to use this dataset, so please expand this box and read on!_x000D_
_x000D_
This is the source data for some of the metrics available at https://www.chicago.gov/city/en/sites/covid-19/home/latest-data.html._x000D_
_x000D_
For all datasets related to COVID-19, see https://data.cityofchicago.org/browse?limitTo=datasets&sortBy=alpha&tags=covid-19._x000D_
_x000D_
Only Chicago residents are included based on the home ZIP Code, as provided by the medical provider, or the address, as provided by the Cook County Medical Examiner._x000D_
_x000D_
Cases with a positive molecular (PCR) or antigen test are included in this dataset. Cases are counted on the date the test specimen was collected. Deaths are those occurring among cases based on the day of death. Hospitalizations are based on the date of first hospitalization. Only one hospitalization is counted for each case. Demographic data are based on what is reported by medical providers or collected by CDPH during follow-up investigation._x000D_
_x000D_
Because of the nature of data reporting to CDPH, hospitalizations will be blank for recent dates They will fill in on later updates when the data are received, although, as for cases and deaths, may continue to be updated as further data are received. _x000D_
_x000D_
All data are provisional and subject to change. Information is updated as additional details are received and it is, in fact, very common for recent dates to be incomplete and to be updated as time goes on. At any given time, this dataset reflects data currently known to CDPH._x000D_
_x000D_
Numbers in this dataset may differ from other public sources due to definitions of COVID-19-related cases, deaths, and hospitalizations, sources used, how cases, deaths and hospitalizations are associated to a specific date, and similar factors._x000D_
_x000D_
Data Source: Illinois National Electronic Disease Surveillance System, Cook County Medical Examiner���s Office"
11,"COVID-19 Cases, Tests, and Deaths by ZIP Code","This is the place to look for important information about how to use this dataset, so please expand this box and read on! _x000D_
_x000D_
This is the source data for some of the metrics available at https://www.chicago.gov/city/en/sites/covid-19/home/latest-data.html. _x000D_
_x000D_
For all datasets related to COVID-19, see https://data.cityofchicago.org/browse?limitTo=datasets&sortBy=alpha&tags=covid-19._x000D_
 _x000D_
Only Chicago residents are included based on the home ZIP Code as provided by the medical provider. If a ZIP was missing or was not valid, it is displayed as ""Unknown"". _x000D_
 _x000D_
Cases with a positive molecular (PCR) or antigen test are included in this dataset. Cases are counted based on the week the test specimen was collected. For privacy reasons, until a ZIP Code reaches five cumulative cases, both the weekly and cumulative case counts will be blank. Therefore, summing the ���Cases - Weekly��� column is not a reliable way to determine case totals. Deaths are those that have occurred among cases based on the week of death._x000D_
 _x000D_
For tests, each test is counted once, based on the week the test specimen was collected. Tests performed prior to 3/1/2020 are not included. Test counts include multiple tests for the same person (a change made on 10/29/2020). PCR and antigen tests reported to Chicago Department of Public Health (CDPH) through electronic lab reporting are included. Electronic lab reporting has taken time to onboard and testing availability has shifted over time, so these counts are likely an underestimate of community infection._x000D_
_x000D_
The ���Percent Tested Positive��� columns are calculated by dividing the number of positive tests by the number of total tests . Because of the data limitations for the Tests columns, such as persons being tested multiple times as a requirement for employment, these percentages may vary in either direction from the actual disease prevalence in the ZIP Code. _x000D_
 _x000D_
All data are provisional and subject to change. Information is updated as additional details are received. _x000D_
_x000D_
To compare ZIP Codes to Chicago Community Areas, please see http://data.cmap.illinois.gov/opendata/uploads/CKAN/NONCENSUS/ADMINISTRATIVE_POLITICAL_BOUNDARIES/CCAzip.pdf. Both ZIP Codes and Community Areas are also geographic datasets on this data portal._x000D_
 _x000D_
Data Source: Illinois National Electronic Disease Surveillance System, Cook County Medical Examiner���s Office, Illinois Vital Records, American Community Survey (2018)"
12,Flu Shot Clinic Locations - 2013 - Map,"List of Chicago Department of Public Health free flu clinics offered throughout the city. For more information about the flu, go to http://bit.ly/9uNhqG."
13,Crime Data from 2020 to Present,"This dataset reflects incidents of crime in the City of Los Angeles dating back to 2020. This data is transcribed from original crime reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0��, 0��). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments."
14,Seattle Real Time Fire 911 Calls,Provides Seattle Fire Department 911 dispatches. Updated every 5 minutes.
15,Traffic Crashes - Crashes,"Crash data shows information about each traffic crash on city streets within the City of Chicago limits and under the jurisdiction of Chicago Police Department (CPD). Data are shown as is from the electronic crash reporting system (E-Crash) at CPD, excluding any personally identifiable information. Records are added to the data portal when a crash report is finalized or when amendments are made to an existing report in E-Crash. Data from E-Crash are available for some police districts in 2015, but citywide data are not available until September 2017. About half of all crash reports, mostly minor crashes, are self-reported at the police district by the driver(s) involved and the other half are recorded at the scene by the police officer responding to the crash. Many of the crash parameters, including street condition data, weather condition, and posted speed limits, are recorded by the reporting officer based on best available information at the time, but many of these may disagree with posted information or other assessments on road conditions. If any new or updated information on a crash is received, the reporting officer may amend the crash report at a later time. A traffic crash within the city limits for which CPD is not the responding police agency, typically crashes on interstate highways, freeway ramps, and on local roads along the City boundary, are excluded from this dataset._x000D_
_x000D_
All crashes are recorded as per the format specified in the Traffic Crash Report, SR1050, of the Illinois Department of Transportation. The crash data published on the Chicago data portal mostly follows the data elements in SR1050 form. The current version of the SR1050 instructions manual with detailed information on each data elements is available <a href=""https://idot.illinois.gov/Assets/uploads/files/Transportation-System/Manuals-Guides-&-Handbooks/Safety/Illinois Traffic Crash Report SR 1050 Instruction Manual 2019.pdf"">here</a>._x000D_
_x000D_
As per Illinois statute, only crashes with a property damage value of $1,500 or more or involving bodily injury to any person(s) and that happen on a public roadway and that involve at least one moving vehicle, except bike dooring, are considered reportable crashes. However, CPD records every reported traffic crash event, regardless of the statute of limitations, and hence any formal Chicago crash dataset released by Illinois Department of Transportation may not include all the crashes listed here."
16,Motor Vehicle Collisions - Crashes,"The Motor Vehicle Collisions crash table contains details on the crash event. Each row represents a crash event. The Motor Vehicle Collisions data tables contain information from all police reported motor vehicle collisions in NYC. The police report (MV104-AN) is required to be filled out for collisions where someone is injured or killed, or where there is at least $1000 worth of damage (https://www.nhtsa.gov/sites/nhtsa.dot.gov/files/documents/ny_overlay_mv-104an_rev05_2004.pdf).  It should be noted that the data is preliminary and subject to change when the MV-104AN forms are amended based on revised crash details.For the most accurate, up to date statistics on traffic fatalities, please refer to the <a href=""https://www1.nyc.gov/site/nypd/stats/traffic-data/traffic-data-collision.page"" style=""color:#187bcd;"">NYPD Motor Vehicle Collisions page</a> (updated weekly) or <a href=""http://www.nycvzv.info/"" style=""color:#187bcd;"">Vision Zero View</a> (updated monthly)._x000D_
_x000D_
</p>_x000D_
Due to success of the CompStat program, NYPD began to ask how to apply the CompStat principles  to other problems.  Other than homicides, the fatal incidents with which police have the most contact with the public are fatal traffic collisions.  Therefore in April 1998, the Department implemented TrafficStat, which uses the CompStat model to work towards improving traffic safety.  Police officers complete form MV-104AN  for all vehicle collisions.  The MV-104AN is a New York State form that has all of the details of a traffic collision.  Before implementing Trafficstat, there was no uniform traffic safety data collection procedure for all of the NYPD precincts.  Therefore, the Police Department implemented the Traffic Accident Management System (TAMS) in July 1999 in order to collect traffic data in a uniform method across the City.  TAMS required the precincts manually enter a few selected MV-104AN fields to collect very basic intersection traffic crash statistics which included the number of accidents, injuries and fatalities. As the years progressed, there grew a need for additional traffic data so that more detailed analyses could be conducted. The Citywide traffic safety initiative, Vision Zero started in the year 2014.  Vision Zero further emphasized the need for the collection of more traffic data in order to work towards the Vision Zero goal, which is to eliminate traffic fatalities.  Therefore, the Department in March 2016 replaced the TAMS with the new Finest Online Records Management System (FORMS).  FORMS enables the police officers to electronically, using a Department cellphone or computer, enter all of the MV-104AN data fields and stores all of the MV-104AN data fields in the Department���s crime data warehouse.  Since all of the MV-104AN data fields are now stored for each traffic collision, detailed traffic safety analyses can be conducted as applicable."
17,Building Permits,"INFORMATION ABOUT 7/12/2019 CHANGES TO THIS DATASET: http://bit.ly/2XV3ERS -- This dataset includes information about currently-valid building permits issued by the City of Chicago from 2006 to the present. Building permits are issued subject to payment of applicable fees. If building or zoning permit fees show as unpaid, the permit is not valid. (A permit is valid if only ���other fees��� are shown as unpaid.) This dataset does not include permits which have been issued and voided or revoked.  This dataset also does not include permits for mechanical amusement riding devices and carnivals issued by the Department of Buildings. 

Property Index Numbers (PINs) and geographic information (ward, community area and census tract) are provided for most permit types issued in 2008 or later.

For more information on building permits, see https://www.chicago.gov/city/en/depts/bldgs/provdrs/permits.html.

For an application related to building permits and inspections, see https://webapps1.chicago.gov/buildingrecords."
18,"Census Data - Selected socioeconomic indicators in Chicago, 2008 ��� 2012","This dataset contains a selection of six socioeconomic indicators of public health significance and a ���hardship index,��� by Chicago community area, for the years 2008 ��� 2012. The indicators are the percent of occupied housing units with more than one person per room (i.e., crowded housing); the percent of households living below the federal poverty level; the percent of persons in the labor force over the age of 16 years that are unemployed; the percent of persons over the age of 25 years without a high school diploma; the percent of the population under 18 or over 64 years of age (i.e., dependency); and per capita income. Indicators for Chicago as a whole are provided in the final row of the table.  See the full dataset description for more information at: https://data.cityofchicago.org/api/views/fwb8-6aw5/files/A5KBlegGR2nWI1jgP6pjJl32CTPwPbkl9KU3FxlZk-A?download=true&filename=P:\EPI\OEPHI\MATERIALS\REFERENCES\ECONOMIC_INDICATORS\Dataset_Description_socioeconomic_indicators_2012_FOR_PORTAL_ONLY.pdf"
19,Flu Shot Clinic Locations - 2012,"List of Chicago Department of Public Health free flu clinics offered throughout the city. For more information about the flu, go to http://bit.ly/9uNhqG."
20,COVID-19 Daily Vaccinations - Chicago Residents - Cumulative Doses by Day,Cumulative counts by date of Chicago residents who received at least one COVID-19 vaccine dose or have completed a vaccine series.
21,OATH Hearings Division Case Status,"IMPORTANT NOTICE: Searches using the search bar at the top of the dataset are currently not working and producing an error message. To search this data set, use the blue ���Filter��� function until this issue is resolved. _x000D_
_x000D_
The OATH Hearings Division Case Status dataset contains information about alleged public safety and quality of life violations that are filed and adjudicated through the City���s administrative law court, the NYC Office of Administrative Trials and Hearings (OATH) and provides information about the infraction charged, decision outcome, payments, amounts and fees relating to the case. The summonses listed in this dataset are issued and filed at the OATH Hearings Division by City enforcement agencies."
22,Boundaries - Community Areas (current),"Current community area boundaries in Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ), is required."
23,Violence Reduction - Victims of Homicides and Non-Fatal Shootings,"This dataset contains individual-level homicide and non-fatal shooting victimizations, including homicide data from 1991 to the present, and non-fatal shooting data from 2010 to the present (2010 is the earliest available year for shooting data). This dataset includes a ""GUNSHOT_INJURY_I "" column to indicate whether the victimization involved a shooting, showing either Yes (""Y""), No (""N""), or Unknown (""UKNOWN."") For homicides, injury descriptions are available dating back to 1991, so the ""shooting"" column will read either ""Y"" or ""N"" to indicate whether the homicide was a fatal shooting or not. For non-fatal shootings, data is only available as of 2010. As a result, for any non-fatal shootings that occurred from 2010 to the present, the shooting column will read as ���Y.��� Non-fatal shooting victims will not be included in this dataset prior to 2010; they will be included in the authorized-access dataset, but with ""UNKNOWN"" in the shooting column.

Each row represents a single victimization, i.e., a unique event when an individual became the victim of a homicide or non-fatal shooting. Each row does not represent a unique victim���if someone is victimized multiple times there will be multiple rows for each of those distinct events. 

The dataset is refreshed daily, but excludes the most recent complete day to allow the Chicago Police Department (CPD) time to gather the best available information. Each time the dataset is refreshed, records can change as CPD learns more about each victimization, especially those victimizations that are most recent. The data on the Mayor's Office Violence Reduction Dashboard is updated daily with an approximately 48-hour lag. As cases are passed from the initial reporting officer to the investigating detectives, some recorded data about incidents and victimizations may change once additional information arises. Regularly updated datasets on the City's public portal may change to reflect new or corrected information.

A version of this dataset with additional crime types is available by request. To make a request, please email <a href=""mailto:dataportal@cityofchicago.org?subject=Violence Reduction Victims Access Request"">dataportal@cityofchicago.org</a> with the subject line: <b>Violence Reduction Victims Access Request</b>. Access will require an account on this site, which you may create at https://data.cityofchicago.org/signup.

How does this dataset classify victims?

The methodology by which this dataset classifies victims of violent crime differs by victimization type:

Homicide and non-fatal shooting victims: A victimization is considered a homicide victimization or non-fatal shooting victimization depending on its presence in CPD's homicide victims data table or its shooting victims data table. A victimization is considered a homicide only if it is present in CPD's homicide data table, while a victimization is considered a non-fatal shooting only if it is present in CPD's shooting data tables and absent from CPD's homicide data table.

To determine the IUCR code of homicide and non-fatal shooting victimizations, we defer to the incident IUCR code available in CPD's Crimes, 2001-present dataset (available on the City's open data portal). If the IUCR code in CPD's Crimes dataset is inconsistent with the homicide/non-fatal shooting categorization, we defer to CPD's Victims dataset. 
For a criminal homicide, the only sensible IUCR codes are 0110 (first-degree murder) or 0130 (second-degree murder). For a non-fatal shooting, a sensible IUCR code must signify a criminal sexual assault, a robbery, or, most commonly, an aggravated battery. In rare instances, the IUCR code in CPD's Crimes and Victims dataset do not align with the homicide/non-fatal shooting categorization:

1. In instances where a homicide victimization does not correspond to an IUCR code 0110 or 0130, we set the IUCR code to ""01XX""  to indicate that the victimization was a homicide but we do not know whether it was a first-degree murder"
24,Chicago COVID-19 Community Vulnerability Index (CCVI) - ZIP Code Only,A filtered view of only ZIP Code records from the parent CCVI dataset.
25,Food Inspections,"This information is derived from inspections of restaurants and other food establishments in Chicago from January 1, 2010 to the present. Inspections are performed by staff from the Chicago Department of Public Health���s Food Protection Program using a standardized procedure. The results of the inspection are inputted into a database, then reviewed and approved by a State of Illinois Licensed Environmental Health Practitioner (LEHP). For descriptions of the data elements included in this set, go to http://bit.ly/tS9IE8

Note about 7/1/2018 change to food inspection procedures that affects the data in this dataset: http://bit.ly/2yWd2JB

Disclaimer: Attempts have been made to minimize any and all duplicate inspection reports. However, the dataset may still contain such duplicates and the appropriate precautions should be exercised when viewing or analyzing these data. The result of the inspections (pass, pass with conditions or fail) as well as the violations noted are based on the findings identified and reported by the inspector at the time of the inspection, and may not reflect the findings noted at other times. For more information about Food Inspections, go to https://www.cityofchicago.org/city/en/depts/cdph/provdrs/healthy_restaurants/svcs/food-protection-services.html."
26,COVID-19 Daily Rolling Average Chicago Case Rates by Age,"Date is the end date of a seven-day window over which the number of daily cases is averaged before using population to calculate the rates._x000D_
_x000D_
Note that because of delayed reporting, counts from recent dates are likely to be preliminary and to increase as the Department of Public Health gets additional reports."
27,COVID-19 Daily Vaccinations - Administered in Chicago - By Resident Status,"COVID-19 vaccinations administered by COVID-19 vaccine providers in the City of Chicago, as reported by medical providers in Illinois Comprehensive Automated Immunization Registry Exchange (I-CARE). This includes Chicago and non-Chicago residents who were vaccinated at sites in the City of Chicago. _x000D_
_x000D_
Daily counts are shown for the total number of doses administered, first dose, and second dose, as well as cumulative totals as of that date. Vaccinations are counted based on the day the vaccine was administered. _x000D_
_x000D_
All data are provisional and subject to change. Information is updated as additional details are received and it is, in fact, very common for recent dates to be incomplete and to be updated as time goes on. At any given time, this dataset reflects data currently known to CDPH. _x000D_
_x000D_
Numbers in this dataset may differ from other public sources due to when data are reported and how City of Chicago boundaries are defined.  _x000D_
_x000D_
For information about the number of vaccine doses administrated to Chicago residents and number of residents considered fully vaccinated regardless of if they were vaccinated in Chicago, see https://data.cityofchicago.org/Health-Human-Services/COVID-19-Daily-Vaccinations-Chicago-Residents/2vhs-cf6b.  _x000D_
_x000D_
For all datasets related to COVID-19, see https://data.cityofchicago.org/browse?limitTo=datasets&sortBy=alpha&tags=covid-19. _x000D_
_x000D_
Data Source: Illinois Comprehensive Automated Immunization Registry Exchange (I-CARE)"
28,Boundaries - Police Beats (current),"Current police beat boundaries in Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ), is required."
29,Chicago Public Schools - Progress Report Cards (2011-2012),"This dataset shows all school level performance data used to create CPS School Report Cards for the 2011-2012 school year. Metrics are described as follows (also available for download at http://bit.ly/uhbzah): NDA indicates ""No Data Available."" SAFETY ICON: Student Perception/Safety category from 5 Essentials survey // SAFETY SCORE: Student Perception/Safety score from 5 Essentials survey // FAMILY INVOLVEMENT ICON: Involved Families category from 5 Essentials survey // FAMILY INVOLVEMENT SCORE: Involved Families score from 5 Essentials survey // ENVIRONMENT ICON: Supportive Environment category from 5 Essentials survey // ENVIRONMENT SCORE: Supportive Environment score from 5 Essentials survey // INSTRUCTION ICON: Ambitious Instruction category from 5 Essentials survey // INSTRUCTION SCORE: Ambitious Instruction score from 5 Essentials survey // LEADERS ICON: Effective Leaders category from 5 Essentials survey // LEADERS SCORE: Effective Leaders score from 5 Essentials survey // TEACHERS ICON: Collaborative Teachers category from 5 Essentials survey // TEACHERS SCORE: Collaborative Teachers score from 5 Essentials survey // PARENT ENGAGEMENT ICON: Parent Perception/Engagement category from parent survey // PARENT ENGAGEMENT SCORE: Parent Perception/Engagement score from parent survey // AVERAGE STUDENT ATTENDANCE: Average daily student attendance // RATE OF MISCONDUCTS (PER 100 STUDENTS): # of misconducts per 100 students//AVERAGE TEACHER ATTENDANCE: Average daily teacher attendance // INDIVIDUALIZED EDUCATION PROGRAM COMPLIANCE RATE: % of IEPs and 504 plans completed by due date // PK-2 LITERACY: % of students at benchmark on DIBELS or IDEL // PK-2 MATH: % of students at benchmark on mClass // GR3-5 GRADE LEVEL MATH: % of students at grade level, math, grades 3-5 // GR3-5 GRADE LEVEL READ: % of students at grade level, reading, grades 3-5 // GR3-5 KEEP PACE READ: % of students meeting growth targets, reading, grades 3-5 // GR3-5 KEEP PACE MATH: % of students meeting growth targets, math, grades 3-5 // GR6-8 GRADE LEVEL MATH: % of students at grade level, math, grades 6-8 // GR6-8 GRADE LEVEL READ: % of students at grade level, reading, grades 6-8 // GR6-8 KEEP PACE MATH: % of students meeting growth targets, math, grades 6-8 // GR6-8 KEEP PACE READ: % of students meeting growth targets, reading, grades 6-8 // GR-8 EXPLORE MATH: % of students at college readiness benchmark, math // GR-8 EXPLORE READ: % of students at college readiness benchmark, reading // ISAT EXCEEDING MATH: % of students exceeding on ISAT, math // ISAT EXCEEDING READ: % of students exceeding on ISAT, reading // ISAT VALUE ADD MATH: ISAT value-add value, math // ISAT VALUE ADD READ: ISAT value-add value, reading // ISAT VALUE ADD COLOR MATH: ISAT value-add color, math // ISAT VALUE ADD COLOR READ: ISAT value-add color, reading // STUDENTS TAKING ALGEBRA: % of students taking algebra // STUDENTS PASSING ALGEBRA: % of students passing algebra // 9TH GRADE EXPLORE (2009): Average EXPLORE score, 9th graders who tested in fall 2009 // 9TH GRADE EXPLORE (2010): Average EXPLORE score, 9th graders who tested in fall 2010 // 10TH GRADE PLAN (2009): Average PLAN score, 10th graders who tested in fall 2009 // 10TH GRADE PLAN (2010): Average PLAN score, 10th graders who tested in fall 2010 // NET CHANGE EXPLORE AND PLAN: Difference between Grade 9 Explore (2009) and Grade 10 Plan (2010) // 11TH GRADE AVERAGE ACT (2011): Average ACT score, 11th graders who tested in fall 2011 // NET CHANGE PLAN AND ACT: Difference between Grade 10 Plan (2009) and Grade 11 ACT (2011) // COLLEGE ELIGIBILITY: % of graduates eligible for a selective four-year college // GRADUATION RATE: % of students who have graduated within five years // COLLEGE/ ENROLLMENT RATE: % of students enrolled in college // COLLEGE ENROLLMENT (NUMBER OF STUDENTS): Total school enrollment // FRESHMAN ON TRACK RATE: Freshmen On-Track rate // RCDTS: Region County District Type Schools Code"
30,Map - Speed Camera Locations,"This dataset shows the location, first operational date, and approaches of the speed cameras in the City of Chicago. The approach describes the originating direction of travel which is monitored by a speed camera."
