user,project,recom_score
50,432,0.497119077
50,1017,0.493568921
50,430,0.387903289
52,815,0.497992691
52,815,0.497992691
52,432,0.497119077
52,646,0.481280931
52,1222,0.126957682
54,646,0.481280931
54,1975,0.48058402
54,1975,0.48058402
54,1102,0.0933456
54,709,0.092484468
56,1007,0.569128741
56,504,0.56085132
56,1456,0.559927565
56,1821,0.550178956
56,218,0.546332015
56,1286,0.524317454
56,1155,0.506277372
56,1352,0.48365368
56,291,0.477433502
56,1453,0.412545764
56,1473,0.401566793
56,1184,0.397367273
56,530,0.378026732
56,647,0.31747324
56,423,0.251387116
56,1295,0.190966546
56,387,0.176419731
56,964,0.145053403
57,815,0.497992691
57,432,0.497119077
57,1522,0.488453562
57,1975,0.48058402
57,902,0.462465103
60,815,0.497992691
60,1674,0.478221746
60,1674,0.478221746
60,902,0.462465103
60,1932,0.301364784
62,1560,0.666292034
62,1233,0.615199051
62,506,0.576325483
62,1284,0.550693465
62,1119,0.501016293
62,102,0.416542034
62,1430,0.394692874
62,247,0.266602417
62,1267,0.245752084
62,1437,0.223213366
63,1017,0.695597255
63,820,0.648145408
63,1286,0.559692632
63,124,0.503320559
63,1932,0.500804935
63,404,0.484851794
63,1453,0.44135844
63,1375,0.426615382
63,1778,0.297657057
66,1674,0.478221746
66,314,0.464191568
66,314,0.464191568
66,314,0.464191568
66,1778,0.117417975
68,1247,0.494175501
68,1884,0.424275937
68,1473,0.394368236
68,29,0.321307356
68,242,0.291802474
68,1940,0.265443875
68,1471,0.219075678
68,423,0.218793419
68,1898,0.216482372
68,1102,0.197566542
68,1334,0.181500306
68,1295,0.153029181
68,83,0.079152722
69,1415,0.331042986
69,448,0.322800907
69,1917,0.273205823
69,1334,0.181500306
69,758,0.13695512
71,1522,0.488453562
71,295,0.460275496
71,13,0.362627608
71,1670,0.323563122
71,1940,0.158482058
76,902,0.462465103
76,448,0.322800907
76,1917,0.273205823
76,1334,0.181500306
76,758,0.13695512
77,815,0.497992691
77,815,0.497992691
77,1522,0.488453562
77,1674,0.478221746
77,224,0.276545221
78,815,0.497992691
78,1522,0.488453562
78,646,0.481280931
78,1975,0.48058402
78,458,0.470417677
82,1522,0.488453562
82,1975,0.48058402
82,314,0.464191568
82,1415,0.331042986
82,668,0.053899797
85,458,0.71281579
85,1988,0.673001524
85,1560,0.666292034
85,1286,0.645624827
85,820,0.635905982
85,1233,0.615199051
85,361,0.610068171
85,506,0.576325483
85,855,0.569091443
85,762,0.560152384
85,1414,0.558759726
85,1284,0.550693465
85,1456,0.541635808
85,1884,0.536830353
85,291,0.513524279
85,497,0.501335452
85,1119,0.501016293
85,1352,0.497041487
85,1496,0.493114547
85,88,0.450596738
85,102,0.416542034
85,1453,0.411449575
85,224,0.395117329
85,1430,0.394692874
85,109,0.377281926
85,423,0.358652916
85,1295,0.338182092
85,1628,0.31674294
85,819,0.279125291
85,247,0.266602417
85,1267,0.245752084
85,1800,0.236107068
85,102,0.224326889
85,292,0.195269093
85,1334,0.181500306
85,387,0.175151225
86,432,0.497119077
86,1975,0.48058402
86,458,0.470417677
86,314,0.464191568
86,902,0.462465103
88,432,0.497119077
88,1017,0.493568921
88,646,0.481280931
88,458,0.470417677
88,1243,0.380675292
90,646,0.481280931
90,13,0.456004758
90,58,0.399693762
90,736,0.365892318
90,620,0.358604246
90,1146,0.293781374
90,242,0.291802474
90,1940,0.253145157
90,758,0.225659587
90,1334,0.181500306
90,488,0.159611007
90,387,0.132781099
90,668,0.053899797
91,1017,0.493568921
91,1522,0.488453562
91,1674,0.478221746
91,458,0.470417677
91,902,0.462465103
92,815,0.497992691
92,1674,0.478221746
92,458,0.470417677
92,139,0.06425037
92,780,0.049731195
96,432,0.497119077
96,1674,0.478221746
96,314,0.464191568
96,1809,0.422580077
96,1200,0.224437925
97,1017,0.493568921
97,458,0.470417677
97,314,0.464191568
97,314,0.464191568
97,1415,0.331042986
100,1674,0.673274042
100,730,0.622231917
100,458,0.611348061
100,1286,0.523480366
100,457,0.511076477
100,870,0.480250247
100,242,0.46324239
100,471,0.436183188
100,1917,0.431058816
100,1809,0.422580077
100,1292,0.415194452
100,442,0.412725985
100,1453,0.402872526
100,1437,0.367388747
100,807,0.353964764
100,1252,0.352727946
100,1861,0.331198171
100,1094,0.331008349
100,963,0.318409798
100,348,0.286826853
100,376,0.249340936
100,1634,0.200597923
100,944,0.190521418
100,1032,0.188479533
100,387,0.179064225
100,1882,0.168996204
101,815,0.497992691
101,646,0.481280931
101,1975,0.48058402
101,314,0.464191568
101,902,0.462465103
108,1522,0.488453562
108,1674,0.478221746
108,471,0.321062517
108,404,0.304422738
108,83,0.079152722
110,458,0.638835548
110,1522,0.636107142
110,1710,0.575307694
110,154,0.479922258
110,29,0.346829088
110,109,0.313482068
110,925,0.288295798
110,224,0.276545221
110,1532,0.264569468
110,1575,0.17443643
110,1102,0.0933456
110,982,0.033765001
111,1674,0.714461924
111,1522,0.703458215
111,1710,0.635695708
111,762,0.565957668
111,242,0.515027442
111,1932,0.493785117
111,1473,0.484486629
111,807,0.431307095
111,29,0.376696678
111,1274,0.356369547
111,109,0.336205325
111,925,0.333990089
111,124,0.329848631
111,506,0.328077264
111,423,0.298352015
111,1590,0.266024466
111,1295,0.26493831
111,683,0.244910539
111,1800,0.235878275
111,982,0.219792633
111,258,0.216324643
111,783,0.191768059
112,295,0.460275496
112,867,0.368038985
112,13,0.362627608
112,1670,0.323563122
112,1940,0.158482058
112,780,0.049731195
115,1522,0.488453562
115,646,0.481280931
115,1975,0.48058402
115,458,0.470417677
115,291,0.362520441
116,815,0.497992691
116,646,0.481280931
116,1975,0.48058402
116,314,0.464191568
116,902,0.462465103
117,891,0.52412741
117,1286,0.51766185
117,361,0.513650923
117,1415,0.331042986
117,29,0.302954922
117,423,0.281955358
117,1786,0.252768701
117,1195,0.244719809
117,1898,0.220261008
117,1295,0.219420999
117,1496,0.209832416
117,1875,0.149826946
117,1800,0.011496396
118,432,0.497119077
118,646,0.481280931
118,646,0.481280931
118,291,0.362520441
118,271,0.211095193
121,815,0.497992691
121,432,0.497119077
121,1274,0.356369547
121,620,0.269900785
121,1437,0.223213366
123,646,0.481280931
123,448,0.322800907
123,1917,0.273205823
123,1334,0.181500306
123,758,0.13695512
126,646,0.481280931
126,430,0.387903289
126,1247,0.382032007
126,1154,0.305246826
126,1094,0.161989514
126,668,0.053899797
126,982,0.033765001
127,432,0.497119077
127,1017,0.493568921
127,1522,0.488453562
127,646,0.481280931
127,1975,0.48058402
129,432,0.497119077
129,1674,0.478221746
129,1233,0.42476093
129,1496,0.209832416
129,1875,0.149826946
131,646,0.481280931
131,1674,0.478221746
131,458,0.470417677
131,314,0.464191568
131,902,0.462465103
132,1007,0.590717126
132,291,0.502614155
132,1211,0.489852833
132,242,0.428612956
132,250,0.421434973
132,258,0.362062916
132,271,0.360670367
132,1252,0.260958355
132,1590,0.185473587
132,139,0.06425037
135,815,0.497992691
135,646,0.481280931
135,1975,0.48058402
135,458,0.470417677
135,902,0.462465103
137,1710,0.62736642
137,1414,0.621334902
137,504,0.611157148
137,1243,0.57230047
137,1932,0.479741458
137,658,0.443084533
137,157,0.299975498
137,1542,0.2727293
137,982,0.236351593
137,29,0.199173214
137,1102,0.0933456
137,83,0.079152722
139,1674,0.673274042
139,432,0.638312616
139,1975,0.611664141
139,815,0.611425217
139,646,0.590344958
139,1988,0.575567286
139,1809,0.562999247
139,504,0.56090024
139,457,0.511076477
139,396,0.507506537
139,1867,0.489152872
139,154,0.472132348
139,88,0.466573703
139,242,0.46324239
139,1917,0.431058816
139,442,0.412725985
139,1184,0.392313038
139,258,0.379218683
139,29,0.356595667
139,207,0.356312212
139,98,0.349384703
139,1362,0.345711166
139,965,0.3374073
139,1094,0.331008349
139,1430,0.327771319
139,963,0.318409798
139,1956,0.2996274
139,1146,0.292551753
139,1786,0.284414431
139,1940,0.273923604
139,376,0.249340936
139,488,0.235954283
139,1634,0.200597923
139,1334,0.181500306
139,381,0.164809663
139,1882,0.145667937
140,815,0.497992691
140,1017,0.493568921
140,1522,0.488453562
140,458,0.470417677
140,314,0.464191568
141,815,0.497992691
141,432,0.497119077
141,1017,0.493568921
141,1522,0.488453562
141,314,0.464191568
142,1017,0.493568921
142,646,0.481280931
142,458,0.470417677
142,1326,0.360800794
142,1334,0.181500306
145,646,0.481280931
145,1975,0.48058402
145,458,0.470417677
145,314,0.464191568
145,1892,0.239547986
148,646,0.481280931
148,1975,0.48058402
148,1674,0.478221746
148,458,0.470417677
148,314,0.464191568
150,815,0.497992691
150,815,0.497992691
150,815,0.497992691
150,646,0.481280931
150,902,0.462465103
151,815,0.497992691
151,815,0.497992691
151,432,0.497119077
151,477,0.245981136
151,1919,0.242373241
152,1522,0.488453562
152,646,0.481280931
152,1975,0.48058402
152,458,0.470417677
152,314,0.464191568
155,1017,0.493568921
155,646,0.481280931
155,314,0.464191568
155,224,0.276545221
155,1102,0.0933456
164,1180,0.376542532
164,867,0.368038985
164,1211,0.335772293
164,1334,0.181500306
164,1956,0.12035138
164,83,0.079152722
167,1975,0.48058402
167,1674,0.478221746
167,1674,0.478221746
167,458,0.470417677
167,1334,0.181500306
169,815,0.497992691
169,1522,0.488453562
169,458,0.470417677
169,1094,0.161989514
169,982,0.033765001
170,458,0.71281579
170,1286,0.645624827
170,1017,0.638201231
170,820,0.635905982
170,361,0.610068171
170,1821,0.573803079
170,762,0.560152384
170,124,0.533289491
170,1155,0.520656725
170,1496,0.493114547
170,224,0.456784302
170,1375,0.407547647
170,423,0.358652916
170,1295,0.338182092
170,1800,0.236107068
170,783,0.147952043
174,815,0.497992691
174,432,0.497119077
174,1975,0.48058402
174,1674,0.478221746
174,314,0.464191568
176,432,0.497119077
176,1522,0.488453562
176,1674,0.478221746
176,1674,0.478221746
176,1133,0.383425971
180,432,0.497119077
180,1247,0.382032007
180,271,0.211095193
180,1334,0.181500306
180,668,0.053899797
182,1017,0.493568921
182,1674,0.478221746
182,1674,0.478221746
182,458,0.470417677
182,1778,0.117417975
183,815,0.497992691
183,1017,0.493568921
183,1522,0.488453562
183,1975,0.48058402
183,902,0.462465103
184,1007,0.451360095
184,262,0.347519938
184,1415,0.331042986
184,442,0.217498034
184,1102,0.0933456
184,83,0.079152722
184,668,0.053899797
185,815,0.497992691
185,646,0.481280931
185,1674,0.478221746
185,314,0.464191568
185,1334,0.181500306
186,815,0.497992691
186,432,0.497119077
186,432,0.497119077
186,1017,0.493568921
186,1334,0.181500306
187,432,0.497119077
187,1017,0.493568921
187,458,0.470417677
187,314,0.464191568
187,902,0.462465103
189,1522,0.488453562
189,646,0.481280931
189,314,0.464191568
189,314,0.464191568
189,291,0.362520441
190,815,0.497992691
190,1522,0.488453562
190,646,0.481280931
190,458,0.470417677
190,902,0.462465103
191,278,0.609100859
191,1988,0.574818488
191,1884,0.562487962
191,646,0.481280931
191,124,0.474874779
191,762,0.46961807
191,1196,0.466973841
191,848,0.456457389
191,1932,0.437801186
191,1292,0.431982286
191,1429,0.426989061
191,224,0.404744187
191,1919,0.40073709
191,1375,0.368835951
191,1892,0.364397946
191,423,0.257032764
191,1778,0.252813159
191,1892,0.239547986
191,1819,0.214697028
191,139,0.205456322
191,1195,0.098351097
191,83,0.079152722
192,432,0.497119077
192,1017,0.493568921
192,1522,0.488453562
192,646,0.481280931
192,1975,0.48058402
197,646,0.481280931
197,458,0.470417677
197,314,0.464191568
197,902,0.462465103
197,291,0.362520441
198,1522,0.488453562
198,295,0.460275496
198,13,0.362627608
198,1670,0.323563122
198,1940,0.158482058
199,1522,0.488453562
199,1233,0.42476093
199,124,0.329848631
199,1892,0.239547986
199,709,0.092484468
199,83,0.079152722
199,668,0.053899797
201,815,0.497992691
201,1017,0.493568921
201,646,0.481280931
201,1674,0.478221746
201,1940,0.158482058
203,1007,0.451360095
203,262,0.347519938
203,1415,0.331042986
203,442,0.217498034
203,1102,0.0933456
203,83,0.079152722
203,668,0.053899797
205,1017,0.493568921
205,1674,0.478221746
205,458,0.470417677
205,314,0.464191568
205,902,0.462465103
206,815,0.497992691
206,815,0.497992691
206,815,0.497992691
206,646,0.481280931
206,1222,0.126957682
211,1674,0.478221746
211,458,0.470417677
211,314,0.464191568
211,902,0.462465103
211,29,0.199173214
212,432,0.631484725
212,1247,0.518765226
212,762,0.477809551
212,902,0.462465103
212,1438,0.447726548
212,258,0.408038363
212,1011,0.405173245
212,475,0.39814804
212,1247,0.382032007
212,1496,0.349055605
212,963,0.260677812
212,1819,0.209252352
212,668,0.206571313
212,1800,0.162920089
212,381,0.055726547
214,1017,0.493568921
214,646,0.481280931
214,643,0.416228571
214,870,0.271168746
214,1334,0.181500306
216,432,0.497119077
216,1522,0.488453562
216,458,0.470417677
216,314,0.464191568
216,668,0.053899797
219,815,0.497992691
219,1017,0.493568921
219,1975,0.48058402
219,314,0.464191568
219,902,0.462465103
226,1017,0.493568921
226,1522,0.488453562
226,646,0.481280931
226,314,0.464191568
226,1133,0.383425971
229,815,0.497992691
229,1017,0.493568921
229,1522,0.488453562
229,646,0.481280931
229,314,0.464191568
230,218,0.543964444
230,1456,0.528101106
230,646,0.481280931
230,13,0.471044806
230,1292,0.421215921
230,428,0.412401464
230,471,0.321062517
230,29,0.306949945
230,1940,0.299675597
230,1786,0.247658824
230,780,0.158233292
230,1561,0.153882899
230,1590,0.05856752
231,432,0.497119077
231,1522,0.488453562
231,1975,0.48058402
231,1674,0.478221746
231,314,0.464191568
233,1674,0.673274042
233,1007,0.604180444
233,1879,0.59246216
233,855,0.583290849
233,504,0.571518048
233,762,0.565957668
233,457,0.511076477
233,1932,0.493785117
233,13,0.493707728
233,1473,0.484486629
233,88,0.464891601
233,242,0.46324239
233,1341,0.441292281
233,1917,0.431058816
233,442,0.412725985
233,29,0.376696678
233,1274,0.356369547
233,109,0.336205325
233,1094,0.331008349
233,124,0.329848631
233,965,0.328272441
233,506,0.328077264
233,963,0.318409798
233,1867,0.306660839
233,647,0.304416746
233,423,0.298352015
233,1146,0.273015205
233,1590,0.266024466
233,1295,0.26493831
233,376,0.249340936
233,1800,0.235878275
233,1222,0.231801291
233,258,0.216324643
233,1235,0.214714414
233,1634,0.200597923
233,668,0.195771279
233,656,0.144199704
233,964,0.126887427
237,1522,0.488453562
237,646,0.481280931
237,1674,0.478221746
237,314,0.464191568
237,902,0.462465103
239,1975,0.48058402
239,902,0.462465103
239,1133,0.383425971
239,102,0.224326889
239,1334,0.181500306
243,815,0.497992691
243,458,0.470417677
243,902,0.462465103
243,1334,0.181500306
243,668,0.053899797
250,815,0.497992691
250,432,0.497119077
250,1017,0.493568921
250,646,0.481280931
250,902,0.462465103
251,458,0.752128898
251,646,0.698776372
251,891,0.615298667
251,475,0.573375324
251,762,0.558939668
251,1274,0.55255758
251,262,0.489178244
251,1867,0.486490764
251,807,0.437162402
251,1356,0.419946267
251,1919,0.41619697
251,1184,0.399300043
251,1532,0.346060029
251,98,0.323714651
251,963,0.315142569
251,1956,0.315038404
251,1195,0.313592976
251,109,0.295058749
251,1737,0.292594143
251,925,0.287177928
251,1295,0.256765991
251,1590,0.25588965
251,1800,0.240453513
251,1819,0.227847764
251,376,0.155977145
251,1195,0.098351097
251,83,0.079152722
253,646,0.481280931
253,1975,0.48058402
253,1674,0.478221746
253,902,0.462465103
253,242,0.291802474
255,815,0.497992691
255,646,0.481280931
255,1975,0.48058402
255,1674,0.478221746
255,458,0.470417677
256,646,0.481280931
256,1809,0.422580077
256,1247,0.382032007
256,1154,0.305246826
256,1200,0.224437925
256,1496,0.209832416
256,1875,0.149826946
256,668,0.053899797
259,815,0.741374876
259,1522,0.661140496
259,762,0.490993175
259,314,0.464191568
259,1892,0.417085204
259,1252,0.28418928
259,1590,0.21981981
259,668,0.215115758
259,1334,0.181500306
259,783,0.181088739
259,1800,0.163252176
259,668,0.053899797
261,432,0.497119077
261,646,0.481280931
261,314,0.464191568
261,902,0.462465103
261,1334,0.181500306
266,815,0.497992691
266,314,0.464191568
266,314,0.464191568
266,1809,0.422580077
266,1200,0.224437925
267,1710,0.63899101
267,1011,0.607759836
267,1154,0.57687148
267,646,0.481280931
267,242,0.461603829
267,658,0.458196874
267,271,0.397122824
267,157,0.325398786
267,1542,0.296145834
267,783,0.245023959
267,102,0.224326889
267,1334,0.181500306
268,815,0.497992691
268,646,0.481280931
268,1674,0.478221746
268,1133,0.383425971
268,271,0.211095193
269,1674,0.478221746
269,1674,0.478221746
269,920,0.125091659
269,1778,0.117417975
269,1195,0.098351097
271,432,0.497119077
271,432,0.497119077
271,1674,0.478221746
271,458,0.470417677
271,83,0.079152722
272,1522,0.488453562
272,646,0.481280931
272,29,0.199173214
272,1102,0.0933456
272,83,0.079152722
273,815,0.497992691
273,1522,0.488453562
273,646,0.481280931
273,1334,0.181500306
273,139,0.06425037
274,1522,0.672440896
274,504,0.664055108
274,295,0.655327792
274,820,0.603030235
274,1352,0.576195233
274,242,0.538830527
274,1890,0.529019415
274,1932,0.490765963
274,658,0.481716062
274,271,0.447335371
274,442,0.422300845
274,428,0.412401464
274,423,0.331478831
274,1295,0.265232026
274,683,0.226032764
274,376,0.1957829
277,646,0.481280931
277,1233,0.42476093
277,1094,0.161989514
277,920,0.125091659
277,1267,0.067164751
278,1017,0.493568921
278,1522,0.488453562
278,1674,0.478221746
278,458,0.470417677
278,902,0.462465103
283,1674,0.478221746
283,1233,0.42476093
283,271,0.211095193
283,98,0.160303958
283,668,0.053899797
284,646,0.481280931
284,314,0.464191568
284,1233,0.42476093
284,1094,0.161989514
284,1267,0.067164751
285,815,0.497992691
285,815,0.497992691
285,646,0.481280931
285,1496,0.209832416
285,1875,0.149826946
289,1560,0.666292034
289,815,0.650293198
289,458,0.647582559
289,730,0.637914599
289,1233,0.615199051
289,504,0.602405845
289,291,0.58559449
289,506,0.576325483
289,428,0.572547164
289,1414,0.562884799
289,1284,0.550693465
289,218,0.548821984
289,1884,0.542124251
289,1286,0.524317454
289,1155,0.514473413
289,1247,0.50919415
289,1119,0.501016293
289,361,0.491105719
289,102,0.416542034
289,1473,0.413159926
289,1453,0.412545764
289,1184,0.397367273
289,1430,0.394692874
289,1195,0.381633228
289,271,0.378182926
289,250,0.36500128
289,207,0.352771465
289,258,0.34984155
289,1362,0.345229613
289,1861,0.340016574
289,29,0.333072038
289,247,0.266602417
289,423,0.251387116
289,1267,0.245752084
289,1590,0.231569345
289,488,0.228184698
289,139,0.218785753
289,1295,0.190966546
289,387,0.176419731
289,783,0.160567903
290,1975,0.48058402
290,1674,0.478221746
290,314,0.464191568
290,314,0.464191568
290,1334,0.181500306
294,815,0.497992691
294,1017,0.493568921
294,1522,0.488453562
294,646,0.481280931
294,902,0.462465103
300,646,0.64110265
300,1809,0.640075518
300,1292,0.484905578
300,870,0.430131339
300,1184,0.426981573
300,1919,0.423287464
300,98,0.392241157
300,1902,0.359427877
300,1274,0.356369547
300,1222,0.321343806
300,925,0.295733861
300,242,0.291802474
300,826,0.283544388
300,1956,0.283111966
300,348,0.280729238
300,620,0.269900785
300,1471,0.26987434
300,1741,0.260701871
300,1819,0.253755028
302,1522,0.488453562
302,1522,0.488453562
302,646,0.481280931
302,1195,0.098351097
302,83,0.079152722
303,1017,0.493568921
303,1522,0.488453562
303,1975,0.48058402
303,1415,0.331042986
303,738,0.317693023
304,762,0.565957668
304,1932,0.493785117
304,1473,0.484486629
304,29,0.376696678
304,109,0.336205325
304,423,0.298352015
304,224,0.276545221
304,1590,0.266024466
304,1295,0.26493831
304,1800,0.235878275
304,1102,0.0933456
306,815,0.497992691
306,646,0.481280931
306,458,0.470417677
306,1094,0.161989514
306,982,0.033765001
308,432,0.497119077
308,458,0.470417677
308,314,0.464191568
308,826,0.130665001
308,668,0.053899797
310,815,0.497992691
310,1522,0.488453562
310,646,0.481280931
310,1975,0.48058402
310,1674,0.478221746
311,432,0.497119077
311,1017,0.493568921
311,646,0.481280931
311,1975,0.48058402
311,1674,0.478221746
312,815,0.497992691
312,1522,0.488453562
312,1522,0.488453562
312,646,0.481280931
312,348,0.120907519
314,396,0.579165745
314,562,0.527691133
314,1017,0.493568921
314,646,0.481280931
314,1917,0.455424375
314,58,0.45145895
314,857,0.431396633
314,896,0.382070254
314,358,0.299272244
314,1235,0.28852704
314,1532,0.283402852
314,1561,0.222123497
314,1334,0.181500306
314,1195,0.098351097
314,1032,0.037475695
315,902,0.462465103
315,896,0.382070254
315,224,0.276545221
315,1334,0.181500306
315,1195,0.098351097
315,1032,0.037475695
318,815,0.497992691
318,1522,0.488453562
318,1674,0.478221746
318,314,0.464191568
318,902,0.462465103
320,432,0.497119077
320,1017,0.493568921
320,1017,0.493568921
320,458,0.470417677
320,1415,0.331042986
323,1809,0.640075518
323,314,0.611564484
323,762,0.565957668
323,218,0.562270312
323,1286,0.524317454
323,1155,0.506277372
323,1932,0.493785117
323,1473,0.484486629
323,1475,0.464994708
323,1184,0.426981573
323,1919,0.423287464
323,658,0.419937054
323,1453,0.412545764
323,98,0.392241157
323,29,0.376696678
323,1902,0.359427877
323,109,0.336205325
323,819,0.326089616
323,925,0.306707255
323,982,0.305389656
323,423,0.298352015
323,157,0.29558034
323,242,0.291802474
323,826,0.283544388
323,1956,0.283111966
323,348,0.280729238
323,1590,0.266024466
323,1295,0.26493831
323,1800,0.235878275
323,1542,0.206390239
323,783,0.177265354
323,387,0.176419731
323,376,0.155800998
324,762,0.775840464
324,891,0.688224741
324,1286,0.604258816
324,807,0.461974758
324,109,0.390997163
324,1195,0.322961768
324,1295,0.28678748
324,668,0.278281676
324,656,0.272148927
326,1017,0.493568921
326,646,0.481280931
326,1975,0.48058402
326,1778,0.117417975
326,1542,0.029306628
329,1522,0.488453562
329,646,0.481280931
329,1809,0.422580077
329,109,0.162040046
329,1675,0.14293235
330,432,0.497119077
330,1017,0.493568921
330,646,0.481280931
330,643,0.416228571
330,247,0.065501457
331,291,0.506695822
331,1341,0.438252854
331,1707,0.354349532
331,1426,0.348444808
331,207,0.346342031
331,944,0.192578493
331,381,0.169258464
331,387,0.162617634
331,1940,0.158482058
331,1542,0.150001459
331,139,0.06425037
331,780,0.049731195
333,646,0.481280931
333,504,0.433553099
333,1011,0.405173245
333,448,0.322800907
333,1917,0.273205823
333,1334,0.181500306
333,758,0.13695512
334,815,0.497992691
334,432,0.497119077
334,1674,0.478221746
334,1437,0.223213366
334,1102,0.0933456
335,1017,0.493568921
335,1017,0.493568921
335,458,0.470417677
335,458,0.470417677
335,387,0.039028998
336,1522,0.488453562
336,646,0.481280931
336,1975,0.48058402
336,1674,0.478221746
336,83,0.079152722
337,497,0.539824779
337,1017,0.493568921
337,291,0.487186491
337,1352,0.483497315
337,646,0.481280931
337,124,0.457039579
337,1785,0.433412992
337,1890,0.433252051
337,736,0.361986694
337,268,0.149783297
337,783,0.108334013
338,1017,0.493568921
338,1522,0.488453562
338,646,0.481280931
338,1674,0.478221746
338,250,0.247717295
339,1522,0.488453562
339,1975,0.48058402
339,458,0.470417677
339,458,0.470417677
339,1334,0.181500306
340,218,0.546332015
340,1286,0.524317454
340,1155,0.506277372
340,1453,0.412545764
340,1473,0.401566793
340,1184,0.397367273
340,423,0.251387116
340,1295,0.190966546
340,387,0.176419731
340,83,0.079152722
342,815,0.497992691
342,646,0.481280931
342,471,0.321062517
342,1590,0.05856752
342,387,0.039028998
343,432,0.497119077
343,458,0.470417677
343,314,0.464191568
343,98,0.160303958
343,668,0.053899797
345,1017,0.493568921
345,646,0.481280931
345,1975,0.48058402
345,314,0.464191568
345,1326,0.360800794
349,432,0.497119077
349,646,0.481280931
349,1975,0.48058402
349,458,0.470417677
349,314,0.464191568
350,1017,0.493568921
350,646,0.481280931
